datetime,portfolio_value,cash,price
2024-07-25,213001.63121149788,213001.63121149788,65444.02
2024-07-26,213001.63121149788,213001.63121149788,65830.13
2024-07-27,213001.63121149788,213001.63121149788,67920.43
2024-07-28,213001.63121149788,213001.63121149788,67797.9
2024-07-29,213001.63121149788,213001.63121149788,68273.48
2024-07-30,213001.63121149788,213001.63121149788,66836.0
2024-07-31,213001.63121149788,213001.63121149788,66218.97
2024-08-01,213001.63121149788,213001.63121149788,64634.01
2024-08-02,213001.63121149788,213001.63121149788,65399.99
2024-08-03,213001.63121149788,213001.63121149788,61537.98
2024-08-04,213001.63121149788,213001.63121149788,60663.57
2024-08-05,213001.63121149788,213001.63121149788,58208.01
2024-08-06,212845.72373125763,110464.52831867391,54012.0
